"feature","weight","chr","pos","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Group"
"cg09419176",0.3998,"chr7",157670705,"S_Shore","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg00737916",0.3993,"chr16",88164558,"N_Shore","",""
"cg12904078",0.3993,"chr20",61719188,"S_Shore","",""
"cg13379325",0.3972,"chr20",62052259,"Island","KCNQ2;KCNQ2;KCNQ2;KCNQ2","Body;Body;Body;Body"
"cg24437089",0.3972,"chr11",132948042,"N_Shelf","OPCML","Body"
"cg07949720",0.397,"chr13",112856747,"OpenSea","",""
"cg04237822",0.3967,"chr7",157523541,"N_Shore","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg23634547",0.3955,"chr1",2717110,"Island","",""
"cg13797425",0.394,"chr14",102554977,"S_Shore","HSP90AA1;HSP90AA1","TSS1500;Body"
"cg24732555",0.3929,"chr12",132675220,"Island","",""
"cg11827837",-0.3926,"chr2",71114932,"Island","",""
"cg18608389",-0.3912,"chr4",52917561,"Island","SPATA18","TSS200"
"cg26464998",0.3898,"chr2",242011086,"OpenSea","SNED1","Body"
"cg24045590",0.3893,"chr1",2716877,"Island","",""
"cg10145449",0.3892,"chr8",145101671,"Island","SPATC1;SPATC1","Body;3'UTR"
"cg10197263",0.3892,"chr20",61718852,"Island","",""
"cg16404157",-0.3887,"chr14",38724648,"Island","CLEC14A","1stExon"
"cg15694117",0.3876,"chr19",2717422,"Island","DIRAS1","Body"
"cg25288140",0.3872,"chr17",41278341,"Island","BRCA1;NBR2;BRCA1;BRCA1;BRCA1;BRCA1","TSS1500;Body;TSS1500;TSS1500;TSS1500;TSS1500"
"cg02478172",0.3871,"chr7",157468082,"OpenSea","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg10940066",0.3869,"chr7",158363642,"S_Shore","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg22016671",0.3867,"chr1",4221401,"Island","",""
"cg11291882",0.3859,"chr19",56090781,"Island","ZNF579","Body"
